timestamp,user_id,action,fir_number,case_type,resource,classification,ip_address,location,device,status,risk_score
2026-02-02T14:10:06.781292,POL0077,nafis_search,FIR/966/2025,NDPS Act,nafis_records,Public,49.57.114.173,Pune,Police Terminal,success,82
2025-12-15T22:20:06.781299,POL0010,nafis_search,FIR/201/2026,IT Act,fir_records,Restricted,106.98.160.190,Chennai,Police Terminal,success,44
2025-09-04T00:38:06.781305,POL0024,run_criminal_check,FIR/222/2025,NDPS Act,warrants,Confidential,115.75.1.58,Coimbatore,Mobile Device,success,5
2026-02-17T08:55:06.781310,POL0068,access_evidence,FIR/774/2026,IPC Section 420,cctns_database,Confidential,1.165.137.4,Indore,Mobile Device,success,65
2026-01-16T19:25:06.781315,POL0061,view_fir,FIR/673/2025,Traffic Violation,warrants,Restricted,49.233.73.233,Kanpur,Police Terminal,success,96
2025-09-12T14:40:06.781320,POL0018,issue_warrant,FIR/608/2026,IT Act,evidence_locker,Confidential,1.250.28.67,Kochi,Vehicle MDT,success,47
2025-09-01T09:14:06.781325,POL0024,issue_warrant,FIR/698/2025,NDPS Act,evidence_locker,Public,49.131.111.179,Delhi,Police Terminal,success,8
2025-12-18T15:42:06.781330,POL0010,access_evidence,FIR/954/2025,Traffic Violation,fir_records,Restricted,27.190.37.205,Lucknow,Vehicle MDT,denied,52
2025-11-04T05:34:06.781335,POL0029,run_criminal_check,FIR/925/2025,IPC Section 302,warrants,Restricted,106.43.82.161,Bhopal,Vehicle MDT,success,81
2025-11-03T16:20:06.781341,POL0015,view_fir,FIR/291/2026,Traffic Violation,cctns_database,Confidential,117.144.230.195,Vadodara,Mobile Device,success,12
2025-09-05T07:36:06.781346,POL0036,close_case,FIR/476/2025,Traffic Violation,nafis_records,Confidential,103.249.71.80,Lucknow,Vehicle MDT,success,34
2025-11-18T16:57:06.781350,POL0003,close_case,FIR/467/2024,Traffic Violation,cctns_database,Confidential,27.120.35.62,Lucknow,Mobile Device,success,96
2026-02-19T05:24:06.781355,POL0044,close_case,FIR/867/2026,NDPS Act,fir_records,Restricted,123.241.74.243,Ahmedabad,Mobile Device,success,33
2025-09-19T21:12:06.781360,POL0027,update_case_status,FIR/496/2024,Traffic Violation,nafis_records,Confidential,1.249.243.7,Lucknow,Vehicle MDT,success,80
2025-10-03T05:57:06.781365,POL0078,close_case,FIR/739/2025,IT Act,warrants,Confidential,123.196.51.210,Mumbai,Mobile Device,success,73
2025-11-13T16:46:06.781370,POL0001,run_criminal_check,FIR/771/2024,IPC Section 420,nafis_records,Restricted,1.211.158.97,Delhi,Mobile Device,success,29
2025-09-20T17:08:06.781375,POL0031,nafis_search,FIR/783/2026,Traffic Violation,fir_records,Public,27.188.180.78,Kolkata,Mobile Device,success,34
2025-09-06T19:56:06.781379,POL0003,cctns_search,FIR/847/2025,IPC Section 302,warrants,Confidential,49.196.142.76,Lucknow,Mobile Device,success,14
2025-09-02T12:31:06.781384,POL0075,update_case_status,FIR/675/2024,IT Act,fir_records,Public,49.132.88.108,Kochi,Vehicle MDT,success,36
2025-11-02T17:46:06.781389,POL0015,cctns_search,FIR/329/2026,NDPS Act,evidence_locker,Public,123.236.166.68,Ahmedabad,Mobile Device,denied,19
2026-01-31T17:40:06.781393,POL0038,access_evidence,FIR/435/2026,Traffic Violation,fir_records,Public,123.62.36.64,Pune,Vehicle MDT,success,53
2025-10-08T04:01:06.781398,POL0061,update_case_status,FIR/370/2025,IT Act,cctns_database,Public,115.200.24.136,Coimbatore,Vehicle MDT,success,37
2025-12-09T11:51:06.781403,POL0078,run_criminal_check,FIR/54/2026,NDPS Act,cctns_database,Public,103.102.117.137,Jaipur,Police Terminal,success,13
2025-11-28T04:15:06.781408,POL0072,close_case,FIR/542/2026,NDPS Act,cctns_database,Public,1.159.121.131,Surat,Mobile Device,denied,52
2025-08-26T23:17:06.781413,POL0038,nafis_search,FIR/357/2024,NDPS Act,nafis_records,Restricted,106.215.182.39,Surat,Mobile Device,success,98
2025-12-14T03:04:06.781418,POL0043,nafis_search,FIR/736/2024,IPC Section 420,fir_records,Restricted,115.134.133.62,Kolkata,Police Terminal,denied,29
2025-11-11T18:26:06.781423,POL0030,issue_warrant,FIR/855/2024,IPC Section 302,cctns_database,Restricted,103.109.160.63,Pune,Mobile Device,success,82
2026-02-12T00:15:06.781427,POL0059,cctns_search,FIR/476/2025,IPC Section 302,evidence_locker,Restricted,27.86.177.253,Jaipur,Vehicle MDT,success,69
2025-11-05T19:16:06.781433,POL0076,close_case,FIR/239/2025,Traffic Violation,warrants,Confidential,103.110.149.231,Vadodara,Vehicle MDT,success,89
2025-09-17T05:25:06.781438,POL0061,view_fir,FIR/99/2026,IPC Section 420,nafis_records,Confidential,1.121.10.4,Indore,Mobile Device,success,45
2025-12-25T01:41:06.781442,POL0028,update_case_status,FIR/299/2025,IPC Section 420,fir_records,Restricted,103.160.180.141,Nagpur,Vehicle MDT,success,62
2026-02-04T00:36:06.781446,POL0047,issue_warrant,FIR/447/2026,IT Act,warrants,Confidential,1.156.84.170,Jaipur,Police Terminal,success,73
2025-09-27T00:20:06.781451,POL0079,access_evidence,FIR/145/2024,IPC Section 420,cctns_database,Restricted,1.20.194.33,Bangalore,Police Terminal,success,89
2025-11-21T18:52:06.781455,POL0061,issue_warrant,FIR/962/2026,Traffic Violation,fir_records,Restricted,103.198.123.188,Ahmedabad,Mobile Device,success,16
2025-10-10T17:36:06.781459,POL0015,nafis_search,FIR/725/2024,Traffic Violation,nafis_records,Public,123.7.31.66,Vadodara,Mobile Device,success,72
2026-01-16T23:21:06.781464,POL0027,nafis_search,FIR/906/2025,NDPS Act,cctns_database,Confidential,106.208.3.118,Chandigarh,Mobile Device,success,30
2025-11-10T20:10:06.781468,POL0003,view_fir,FIR/55/2026,NDPS Act,cctns_database,Public,103.176.179.245,Vadodara,Vehicle MDT,success,1
2025-11-08T07:04:06.781472,POL0073,close_case,FIR/324/2025,IPC Section 302,evidence_locker,Public,115.72.16.51,Bangalore,Mobile Device,denied,2
2025-10-13T02:24:06.781477,POL0006,cctns_search,FIR/114/2025,IPC Section 302,cctns_database,Public,49.5.163.80,Coimbatore,Mobile Device,success,26
2026-02-07T05:39:06.781481,POL0053,nafis_search,FIR/12/2025,IPC Section 420,evidence_locker,Public,27.204.23.197,Coimbatore,Police Terminal,denied,34
2026-02-10T21:10:06.781486,POL0001,cctns_search,FIR/873/2024,IPC Section 302,cctns_database,Confidential,123.128.215.43,Bangalore,Mobile Device,success,84
2025-11-06T08:04:06.781490,POL0051,view_fir,FIR/92/2026,IPC Section 302,nafis_records,Restricted,27.53.227.142,Ahmedabad,Police Terminal,success,31
2025-10-15T10:19:06.781494,POL0047,access_evidence,FIR/852/2025,NDPS Act,fir_records,Confidential,115.111.243.164,Lucknow,Mobile Device,denied,48
2025-09-13T01:02:06.781499,POL0077,update_case_status,FIR/851/2024,IPC Section 420,evidence_locker,Confidential,103.30.138.82,Kochi,Vehicle MDT,success,1
2025-10-01T07:08:06.781503,POL0074,access_evidence,FIR/354/2025,IT Act,evidence_locker,Confidential,27.167.146.200,Delhi,Vehicle MDT,denied,24
2026-02-18T21:11:06.781507,POL0041,close_case,FIR/460/2024,IPC Section 420,warrants,Confidential,1.252.226.179,Kanpur,Mobile Device,success,32
2025-11-06T19:47:06.781512,POL0068,cctns_search,FIR/373/2024,IPC Section 302,warrants,Public,123.116.76.207,Coimbatore,Vehicle MDT,success,64
2025-09-29T07:32:06.781516,POL0028,access_evidence,FIR/356/2026,IT Act,nafis_records,Public,103.63.23.247,Surat,Mobile Device,success,4
2025-11-01T10:33:06.781520,POL0066,close_case,FIR/30/2025,Traffic Violation,evidence_locker,Public,123.101.86.130,Vadodara,Vehicle MDT,denied,81
2025-10-17T21:33:06.781528,POL0041,issue_warrant,FIR/780/2024,IPC Section 302,fir_records,Public,106.245.32.47,Visakhapatnam,Vehicle MDT,success,56
2025-09-05T03:12:06.781532,POL0005,update_case_status,FIR/556/2025,IT Act,nafis_records,Confidential,1.254.215.102,Ahmedabad,Vehicle MDT,success,51
